Package Code	Package Description	Accessory #	Accessory	Code	CTD	Sell	Labour	Lab Hrs	Sundry	Sublet
GAR-VHF215i AIS	VHF Radio w AIS - Garmin VHF215i AIS Flush Mounted with 1.8m Aerial	3	AW366V - VHF 1800mm detachable ant whip	AW366V	46.92205970149254	60	Labour Estimated - (0.10)	0.1	1	0
GAR-VHF215i AIS	VHF Radio w AIS - Garmin VHF215i AIS Flush Mounted with 1.8m Aerial	4	Garmin NMEA Backbone/Drop Cable (2mtr)	010-11076-00	38.49999999999999	49	Labour Estimated - (0.25)	0.25	2.5	0
GME-GX750WPK1	VHF Radio - GME GX750W Hideaway with 1.8m Aerial	1	GX750W - Black Box VHF Marine Radio - White	GX750W	283.283616	330	Head Unit Installation - Behind Dash Mount	2	10	0
GME-GX750WPK1	VHF Radio - GME GX750W Hideaway with 1.8m Aerial	2	ABL012 - Double Swivel rectangular antenna base with lead for AW36XX range of whips	ABL012	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GME-GX750WPK1	VHF Radio - GME GX750W Hideaway with 1.8m Aerial	3	AW366V - VHF 1800mm detachable ant whip	AW366V	46.92205970149254	60	Labour Estimated - (0.10)	0.1	1	0
GME-GX750BPK1	VHF Radio - GME GX750B Hideaway with 1.8m Aerial	1	GX750B - Black Box VHF Marine Radio - Black	GX750B	283.283616	330	Head Unit Installation - Behind Dash Mount	2	10	0
GME-GX750BPK1	VHF Radio - GME GX750B Hideaway with 1.8m Aerial	2	ABL012 - Double Swivel rectangular antenna base with lead for AW36XX range of whips	ABL012	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GME-GX750BPK1	VHF Radio - GME GX750B Hideaway with 1.8m Aerial	3	AW366V - VHF 1800mm detachable ant whip	AW366V	46.92205970149254	60	Labour Estimated - (0.10)	0.1	1	0
GME-GX750BPK1B	VHF Radio - GME GX750B Hideaway with 1.8m (Black) Aerial	1	GX750B - Black Box VHF Marine Radio - Black	GX750B	283.283616	330	Head Unit Installation - Behind Dash Mount	2	10	0
GME-GX750BPK1B	VHF Radio - GME GX750B Hideaway with 1.8m (Black) Aerial	2	ABL012B - Double Swivel rectangular antenna base with lead for AW36XX range of whips - Black	ABL012B	51.00441176470588	60	Radio Aerial Installation - Deck/Side Mount	0.9	5	0
GME-GX750BPK1B	VHF Radio - GME GX750B Hideaway with 1.8m (Black) Aerial	3	AW366VB - VHF detachable antenna whip 1800 mm - Black	AW366VB	46.92205970149254	60	Labour Estimated - (0.10)	0.1	1	0
GME-GX750WPK	VHF Radio - GME GX750W Flush Mounted with AE312V Aerial	1	GX750W - Black Box VHF Marine Radio - White	GX750W	283.283616	330	Head Unit Installation - Behind Dash Mount	2	10	0
GME-GX750WPK	VHF Radio - GME GX750W Flush Mounted with AE312V Aerial	2	AE312V - VHF 450 mm Ground Dependant antenna with base, cable & plug	AE312V	46.56574999999999	60	Aerial Installation - Ground Dependent	0.5	5	0
GME-GX750BPK	VHF Radio - GME GX750B Flush Mounted with AE312V Aerial	1	GX750B - Black Box VHF Marine Radio - Black	GX750B	283.283616	330	Head Unit Installation - Behind Dash Mount	2	10	0
GME-GX750BPK	VHF Radio - GME GX750B Flush Mounted with AE312V Aerial	2	AE312V - VHF 450 mm Ground Dependant antenna with base, cable & plug	AE312V	46.56574999999999	60	Aerial Installation - Ground Dependent	0.5	5	0
GME-MT605GAUS	GME EPIRB - MT605G GNSS (Manual Activation)	1	GME EPIRB - 406MHz GNSS (Manual Ativation)	MT605GAUS	335.797	390	EPIRB Installation	0.2	1	0
MIN-604140-KIT02	Minn Kota - Instinct Quest 60" (Black) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	1	MINN KOTA - RT Instinct Quest - 60" Black	604140	7673.180350000001	8829	Minn Kota Motor Installation	4	80	0
MIN-604140-KIT02	Minn Kota - Instinct Quest 60" (Black) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	2	MINN KOTA - Quick Release Bracket (Quest) Black	604202	644.76665	749	Minn Kota Accessory Installation	0.5	5	0
MIN-604140-KIT02	Minn Kota - Instinct Quest 60" (Black) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	3	MINN KOTA ELECTRIC STEER STABILIZER	603000	165	299	Minn Kota Accessory Installation	0.5	5	0
MIN-604140-KIT02	Minn Kota - Instinct Quest 60" (Black) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	4	Battery, Lithium 24v 100Amp (Bluetooth)	111180	2422.824	2890	Installation Only - Fit Battery	0.25	0	0
MIN-604140-KIT02	Minn Kota - Instinct Quest 60" (Black) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	5	Battery Charger - Lithium 20A 24V	111195	365.604	470	Installation Only - Fit Battery Charger	1.25	5	0
MIN-604140-KIT02	Minn Kota - Instinct Quest 60" (Black) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	6	Circuit Breaker - 60 Amp Surface Mount	302255	36.91200000000001	39	Minn Kota Accessory Installation	0.5	5	0
MIN-604140-KIT02	Minn Kota - Instinct Quest 60" (Black) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	7	Minn Kota Waterproof Plug - 60 Amp	603027	249.4954	289	Minn Kota Accessory Installation	0.5	5	0
MIN-604140-KIT02	Minn Kota - Instinct Quest 60" (Black) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	8	Battery Holder Strap - MTD3BAT	MTD3BAT	5.76	10	Installation Only - Tie Down Straps	0.1	0	0
MIN-604140-KIT02	Minn Kota - Instinct Quest 60" (Black) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	9	Battery Corner Locator Pack (Black)	BCL4BLK	24.348	40	Labour Estimated - (0.10)	0.1	1	0
MIN-604140-KIT02	Minn Kota - Instinct Quest 60" (Black) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	10	Battery Webbing Holder (Black - Qty 2)	BWH2BLK	22.068	36	Labour Estimated - (0.10)	0.1	1	0
MIN-604130-KIT02	Minn Kota - Instinct Quest 60" (White) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	1	MINN KOTA - RT Instinct Quest - 60" White	604130	7673.180350000001	8829	Minn Kota Motor Installation	4	80	0
MIN-604130-KIT02	Minn Kota - Instinct Quest 60" (White) with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	2	MINN KOTA - Quick Release Bracket (Quest) White	604200	644.76665	749	Minn Kota Accessory Installation	0.5	5	0
