		Parts & Accessories Module	Supplier	Code	Supplier Description	P&A	MU	CTD	MU	GP	Sell	Base List	Install Type	TTF (Hours)	Labour ($)	Parts CTD	Sundry CTD	Total CTD	MU	GP	Parts	Sundry	Labour	Sell inc Install (if appl.)		Operation Code	Operation Description																															
		Inflatable Deluxe PFD - Adult 150N (Auto) - Red	BBB	BBB-EIAD150RED	Inflatable Deluxe PFD - Adult 150N (Auto) - Red	69.6	0.2	83.52	0.2517415534656913	21.025454545454537	115	104.54545454545453	Supply Only - Installation Not Required	0	0	83.52	0	83.52	0.2517415534656913	21.025454545454537	115	0	0	115		PFD-EIAD150RED	Inflatable Deluxe PFD - Adult 150N (Auto) - Red																															
																																																										
		PFD100 Coastal/Offshore - Junior (15-25kg) 4/6	BBB	BBB-EST100J46	PFD100 Coastal/Offshore - Junior (15-25kg) 4/6	47.93	0.2	57.516	0.24866440326486222	14.302181818181815	79	71.81818181818181	Labour Estimated - (0.05)	0.05	6.504545454545454	57.516	0	64.02054545454546	0.22119887649703346	14.161272727272717	79	0	7.95	86		PFD-EST100J46	PFD100 Coastal/Offshore - Junior (15-25kg) 4/6																															
		PFD100 Coastal/Offshore - Junior (25-40kg) 6/8	BBB	BBB-EST100J68	PFD100 Coastal/Offshore - Junior (25-40kg) 6/8	49.41	0.2	59.291999999999994	0.25725990935462695	15.253454545454538	82	74.54545454545453	Labour Estimated - (0.05)	0.05	6.504545454545454	59.291999999999994	0	65.79654545454545	0.22968600175195714	15.112545454545455	82	0	7.95	89		PFD-EST100J68	PFD100 Coastal/Offshore - Junior (25-40kg) 6/8																															
		PFD100 Coastal/Offshore - Junior (25-40kg) 8/10	BBB	BBB-EST100J810	PFD100 Coastal/Offshore - Junior (25-40kg) 8/10	50.9	0.2	61.08	0.2502232541525272	15.283636363636361	84	76.36363636363636	Labour Estimated - (0.05)	0.05	6.504545454545454	61.08	0	67.58454545454545	0.2240560644579853	15.14272727272727	84	0	7.95	91		PFD-EST100J810	PFD100 Coastal/Offshore - Junior (25-40kg) 8/10																															
		PFD100 Coastal/Offshore - Junior (40-50kg) 12/14	BBB	BBB-EST100J1214	PFD100 Coastal/Offshore - Junior (40-50kg) 12/14	52.38	0.2	62.856	0.25828734076156734	16.234909090909078	87	79.09090909090908	Labour Estimated - (0.05)	0.05	6.504545454545454	62.856	0	69.36054545454546	0.2320339307387222	16.093999999999994	87	0	7.95	94		PFD-EST100J1214	PFD100 Coastal/Offshore - Junior (40-50kg) 12/14																															
																																																										
		PFD100 Coastal/Offshore - Adult Small	BBB	BBB-EST100S	PFD100 Coastal/Offshore - Adult Small	62.14	0.2	74.568	0.2069520437721273	15.431999999999988	99	89.99999999999999	Labour Estimated - (0.05)	0.05	6.504545454545454	74.568	0	81.07254545454545	0.18860997669875917	15.291090909090912	99	0	7.95	106		PFD-EST100S	PFD100 Coastal/Offshore - Adult Small																															
		PFD100 Coastal/Offshore - Adult Med	BBB	BBB-EST100M	PFD100 Coastal/Offshore - Adult Med	62.14	0.2	74.568	0.2069520437721273	15.431999999999988	99	89.99999999999999	Labour Estimated - (0.05)	0.05	6.504545454545454	74.568	0	81.07254545454545	0.18860997669875917	15.291090909090912	99	0	7.95	106		PFD-EST100M	PFD100 Coastal/Offshore - Adult Med																															
		PFD100 Coastal/Offshore - Adult Large	BBB	BBB-EST100LXL	PFD100 Coastal/Offshore - Adult Large	62.14	0.2	74.568	0.2069520437721273	15.431999999999988	99	89.99999999999999	Labour Estimated - (0.05)	0.05	6.504545454545454	74.568	0	81.07254545454545	0.18860997669875917	15.291090909090912	99	0	7.95	106		PFD-EST100LXL	PFD100 Coastal/Offshore - Adult Large																															
		PFD100 Coastal/Offshore - Adult X/L	BBB	BBB-EST100XL	PFD100 Coastal/Offshore - Adult X/L	62.14	0.2	74.568	0.2069520437721273	15.431999999999988	99	89.99999999999999	Labour Estimated - (0.05)	0.05	6.504545454545454	74.568	0	81.07254545454545	0.18860997669875917	15.291090909090912	99	0	7.95	106		PFD-EST100XL	PFD100 Coastal/Offshore - Adult X/L																															
		PFD100 Coastal/Offshore - Adult XX/L	BBB	BBB-EST1002XL	PFD100 Coastal/Offshore - Adult XX/L	62.14	0.2	74.568	0.2069520437721273	15.431999999999988	99	89.99999999999999	Labour Estimated - (0.05)	0.05	6.504545454545454	74.568	0	81.07254545454545	0.18860997669875917	15.291090909090912	99	0	7.95	106		PFD-EST1002XL	PFD100 Coastal/Offshore - Adult XX/L																															
		PFD100 Coastal/Offshore - Adult XXX/L	BBB	BBB-EST1003XL	PFD100 Coastal/Offshore - Adult XXX/L	62.14	0.2	74.568	0.2069520437721273	15.431999999999988	99	89.99999999999999	Labour Estimated - (0.05)	0.05	6.504545454545454	74.568	0	81.07254545454545	0.18860997669875917	15.291090909090912	99	0	7.95	106		PFD-EST1003XL	PFD100 Coastal/Offshore - Adult XXX/L																															
																																																										
		PFD100 Starfish - Toddler 0-1 (5-10kg)	BBB	BBB-EST100T01	PFD100 Starfish - Toddler 0-1 (5-10kg)	40.89	0.2	49.068	0.2598471879469678	12.750181818181815	68	61.81818181818181	Labour Estimated - (0.05)	0.05	6.504545454545454	49.068	0	55.57254545454545	0.22689751970397415	12.609272727272725	68	0	7.95	75		PFD-EST100T01	PFD100 Starfish - Toddler 0-1 (5-10kg)																															
		PFD100 Starfish - Toddler 1-2 (10-15kg)	BBB	BBB-EST100T12	PFD100 Starfish - Toddler 1-2 (10-15kg)	42.29	0.2	50.748	0.2539679127524954	12.888363636363636	70	63.63636363636363	Labour Estimated - (0.05)	0.05	6.504545454545454	50.748	0	57.252545454545455	0.22265306187259637	12.747454545454545	70	0	7.95	77		PFD-EST100T12	PFD100 Starfish - Toddler 1-2 (10-15kg)																															
		PFD100 Starfish - Toddler 3-4 (15-25kg)	BBB	BBB-EST100T34	PFD100 Starfish - Toddler 3-4 (15-25kg)	43.69	0.2	52.428	0.26580522552140773	13.935636363636362	73	66.36363636363636	Labour Estimated - (0.05)	0.05	6.504545454545454	52.428	0	58.93254545454545	0.2340765559391477	13.794727272727272	73	0	7.95	80		PFD-EST100T34	PFD100 Starfish - Toddler 3-4 (15-25kg)																															
																																																										
		PFD50 Blaze - Junior 6 (15-25kg)	BBB	BBB-EB50J6	PFD50 Blaze - Junior 6 (15-25kg)	31	0.2	37.2	0.2707722385141737	10.072727272727263	52	47.272727272727266	Labour Estimated - (0.05)	0.05	6.504545454545454	37.2	0	43.70454545454545	0.2272490899635985	9.93181818181818	52	0	7.95	59		PFD-EB50J6	PFD50 Blaze - Junior 6 (15-25kg)																															
		PFD50 Blaze - Junior 10 (25-40kg)	BBB	BBB-EB50J10	PFD50 Blaze - Junior 10 (25-40kg)	31	0.2	37.2	0.2707722385141737	10.072727272727263	52	47.272727272727266	Labour Estimated - (0.05)	0.05	6.504545454545454	37.2	0	43.70454545454545	0.2272490899635985	9.93181818181818	52	0	7.95	59		PFD-EB50J10	PFD50 Blaze - Junior 10 (25-40kg)																															
		PFD50 Blaze - Adult Sml (40-60kg)	BBB	BBB-EB50S	PFD50 Blaze - Adult Sml (40-60kg)	37.85	0.2	45.42	0.26095832832953025	11.852727272727265	63	57.272727272727266	Labour Estimated - (0.05)	0.05	6.504545454545454	45.42	0	51.92454545454545	0.22555456343995658	11.711818181818181	63	0	7.95	70		PFD-EB50S	PFD50 Blaze - Adult Sml (40-60kg)																															
		PFD50 Blaze - Adult Med (60+kg)	BBB	BBB-EB50M	PFD50 Blaze - Adult Med (60+kg)	37.85	0.2	45.42	0.26095832832953025	11.852727272727265	63	57.272727272727266	Labour Estimated - (0.05)	0.05	6.504545454545454	45.42	0	51.92454545454545	0.22555456343995658	11.711818181818181	63	0	7.95	70		PFD-EB50M	PFD50 Blaze - Adult Med (60+kg)																															
		PFD50 Blaze - Adult Lge (60+kg)	BBB	BBB-EB50L	PFD50 Blaze - Adult Lge (60+kg)	39.5	0.2	47.4	0.26582278481012644	12.599999999999994	66	59.99999999999999	Labour Estimated - (0.05)	0.05	6.504545454545454	47.4	0	53.904545454545456	0.2311324732270848	12.459090909090904	66	0	7.95	73		PFD-EB50L	PFD50 Blaze - Adult Lge (60+kg)																															
		PFD50 Blaze - Adult X/L (60+kg)	BBB	BBB-EB50XL	PFD50 Blaze - Adult X/L (60+kg)	39.5	0.2	47.4	0.26582278481012644	12.599999999999994	66	59.99999999999999	Labour Estimated - (0.05)	0.05	6.504545454545454	47.4	0	53.904545454545456	0.2311324732270848	12.459090909090904	66	0	7.95	73		PFD-EB50XL	PFD50 Blaze - Adult X/L (60+kg)																															
		PFD50 Blaze - Adult XX/L (60+kg)	BBB	BBB-EB50XXL	PFD50 Blaze - Adult XX/L (60+kg)	40.95	0.2	49.14	0.2580012580012579	12.678181818181812	68	61.81818181818181	Labour Estimated - (0.05)	0.05	6.504545454545454	49.14	0	55.64454545454545	0.22531000343086793	12.537272727272722	68	0	7.95	75		PFD-EB50XXL	PFD50 Blaze - Adult XX/L (60+kg)																															
																																																										
		PFD50 Vortex - Junior 6 (15-25kg)	BBB	BBB-EV50J6	PFD50 Vortex - Junior 6 (15-25kg)	57.91	0.2	69.49199999999999	0.2558672548311644	17.780727272727276	96	87.27272727272727	Labour Estimated - (0.05)	0.05	6.504545454545454	69.49199999999999	0	75.99654545454544	0.23211342142346192	17.639818181818185	96	0	7.95	103		PFD-EV50J6	PFD50 Vortex - Junior 6 (15-25kg)																															
		PFD50 Vortex - Junior 10 (25-40kg)	BBB	BBB-EV50J10	PFD50 Vortex - Junior 10 (25-40kg)	57.91	0.2	69.49199999999999	0.2558672548311644	17.780727272727276	96	87.27272727272727	Labour Estimated - (0.05)	0.05	6.504545454545454	69.49199999999999	0	75.99654545454544	0.23211342142346192	17.639818181818185	96	0	7.95	103		PFD-EV50J10	PFD50 Vortex - Junior 10 (25-40kg)																															
		PFD50 Vortex - Junior 14 (40-50kg)	BBB	BBB-EV50J14	PFD50 Vortex - Junior 14 (40-50kg)	57.91	0.2	69.49199999999999	0.2558672548311644	17.780727272727276	96	87.27272727272727	Labour Estimated - (0.05)	0.05	6.504545454545454	69.49199999999999	0	75.99654545454544	0.23211342142346192	17.639818181818185	96	0	7.95	103		PFD-EV50J14	PFD50 Vortex - Junior 14 (40-50kg)																															
		PFD50 Vortex - Adult Sml (40-60kg)	BBB	BBB-EV50S	PFD50 Vortex - Adult Sml (40-60kg)	68.07	0.2	81.684	0.25761804915617165	21.043272727272722	113	102.72727272727272	Labour Estimated - (0.05)	0.05	6.504545454545454	81.684	0	88.18854545454545	0.23701903153780016	20.90236363636363	113	0	7.95	120		PFD-EV50S	PFD50 Vortex - Adult Sml (40-60kg)																															
		PFD50 Vortex - Adult Med (60+kg)	BBB	BBB-EV50M	PFD50 Vortex - Adult Med (60+kg)	68.07	0.2	81.684	0.25761804915617165	21.043272727272722	113	102.72727272727272	Labour Estimated - (0.05)	0.05	6.504545454545454	81.684	0	88.18854545454545	0.23701903153780016	20.90236363636363	113	0	7.95	120		PFD-EV50M	PFD50 Vortex - Adult Med (60+kg)																															
		PFD50 Vortex - Adult Lge (60+kg)	BBB	BBB-EV50L	PFD50 Vortex - Adult Lge (60+kg)	68.07	0.2	81.684	0.25761804915617165	21.043272727272722	113	102.72727272727272	Labour Estimated - (0.05)	0.05	6.504545454545454	81.684	0	88.18854545454545	0.23701903153780016	20.90236363636363	113	0	7.95	120		PFD-EV50L	PFD50 Vortex - Adult Lge (60+kg)																															
		PFD50 Vortex - Adult X/L (60+kg)	BBB	BBB-EV50XL	PFD50 Vortex - Adult X/L (60+kg)	68.07	0.2	81.684	0.25761804915617165	21.043272727272722	113	102.72727272727272	Labour Estimated - (0.05)	0.05	6.504545454545454	81.684	0	88.18854545454545	0.23701903153780016	20.90236363636363	113	0	7.95	120		PFD-EV50XL	PFD50 Vortex - Adult X/L (60+kg)																															
