As at 27.02.2026		Franchise	Part	Description	Stock OH	Bin	Daily	MU	GP	List	Retail+ GST	
		9HI	HEE430	SEAT - SUSPENSION SEAT W SHOCK	0	BUY IN	2850.77	0.4139723653609375	1180.1399999999999	4030.91	4434	
		9HI	HEE459	HIGHFIELD COVER FOR SP360	0	BUY IN	452.31	0.4061152749220667	183.69	636	699.6	
		9HI	HEE476	FORWARD ARCH - SP520	0	BUY IN	1696.15	0.42247442737965385	716.5799999999999	2412.73	2654	
		9HI	HEE483	FORWARD ARCH	0	BUY IN	1640.38	0.42649873809727007	699.6199999999999	2340	2574	
		9HI	HEE485-L	STERN MESH SHADE - SP800/900	0	BUY IN	552.31	0.4715105647190891	260.4200000000001	812.73	894	
		9HI	HEE485-M	STERN MESH SHADE - SP660TO760	0	BUY IN	393.85	0.5095848673352797	200.69999999999993	594.55	654.01	
		9HI	HEE485-S	STERN MESH SHADE - SP560/600	0	BUY IN	366.15	0.5244571896763621	192.02999999999997	558.18	614	
		9HI	HEL 001	TRANSOM  LADDER - PA460	0	BUY IN	190.77	0.6678723069665041	127.41	318.18	350	
		9HI	HEL 002	TRANSOM  LADDER - PA500	0	BUY IN	190.77	0.6678723069665041	127.41	318.18	350	
		9HI	HEL 003	TRANSOM  LADDER - PA540	0	BUY IN	190.77	0.6678723069665041	127.41	318.18	350	
		9HI	HEL 004	TRANSOM  LADDER - PA600	0	BUY IN	190.77	0.6678723069665041	127.41	318.18	350	
		9HI	HEL 005	TRANSOM  LADDER - PA660	0	BUY IN	190.77	0.6678723069665041	127.41	318.18	350	
		9HI	HEL 006	TRANSOM  LADDER - PA700	0	BUY IN	201.54	0.6689490919916643	134.82000000000002	336.36	370	
		9HI	HEL 007	TRANSOM  LADDER - PA760	0	BUY IN	201.54	0.6689490919916643	134.82000000000002	336.36	370	
		9HI	HEL 008	TRANSOM  LADDER - PA860	0	BUY IN	201.54	0.6689490919916643	134.82000000000002	336.36	370	
		9HI	HEL 009	TENDER LADDER	0	BUY IN	173.85	0.41184929536957143	71.6	245.45	270	
		9HI	HEO  017	STEERING WHEEL - GUSSI 15A	2	BUY IN	150.77	0.7486237315115737	112.86999999999998	263.64	290	
		9HI	HEO 009	HYDRAULIC STEERING SYSTEM - UL	0	BUY IN	1358.46	0.6060980816512817	823.3600000000001	2181.82	2400	
		9HI	HEO 016	STEERING WHEEL - V56 (350MM DI	0	BUY IN	143.08	0.7790746435560525	111.47	254.55	280.01	
		9HI	HEO 018	HF COVER UL 240	1	HIGHF	290.34	0.4090032375835228	118.75	409.09	450	
		9HI	HEO 019	HF COVER UL 260	0	HIGHF	309.23	0.41115027649322505	127.13999999999999	436.37	480.01	
		9HI	HEO 020	HF COVER UL 290	1	HIGHF	332.31	0.42255725075983275	140.42000000000002	472.73	520	
		9HI	HEO 021	HF COVER FOR UL310	1	BUY IN	250	1	250	500	550	
		9HI	HEO 022	HF COVER UL 340	2	HIGHF	485.41	0.4233534537813394	205.49999999999994	690.91	760	
		9HI	HEO 025	HF COVER FOR CL240	1	BUY IN	200	1	200	400	440	
		9HI	HEO 026	HF COVER FOR UL/CL 260	2	BUY IN	210	1.077952380952381	226.37	436.37	480.01	
		9HI	HEO 027	HF COVER FOR CL 290	0	BUY IN	230	1.0553478260869567	242.73000000000002	472.73	520	
		9HI	HEO 028	HF COVER CL 310	2	HIGHF	393.16	0.4451622749008035	175.01999999999992	568.18	625	
		9HI	HEO 029	HF COVER CL 340	2	HIGHF	475.38	0.41514157095376336	197.35000000000002	672.73	740	
		9HI	HEO 030	HF COVER CL 360	2	HIGHF	535.31	0.4010573312659955	214.69000000000005	750	825	
		9HI	HEO 031	HF COVER CL 380	0	HIGHF	557.99	0.4255631821358806	237.46000000000004	795.45	875	
		9HI	HEO 032	HF COVER CL 420	0	HIGHF	655.38	0.4010039976807349	262.81000000000006	918.19	1010.01	
		9HI	HEO 033	HF COVER CL 460	0	HIGHF	655.38	0.4010039976807349	262.81000000000006	918.19	1010.01	
		9HI	HEO 034	HF COVER SPORT 300	0	HIGHF	373.85	0.41040524274441603	153.42999999999995	527.28	580.01	
		9HI	HEO 035	HF COVER SPORT 330	2	HIGHF	570.09	0.39530600431510815	225.36	795.45	875	
		9HI	HEO 036	HF COVER SPORT 360	2	HIGHF	629.06	0.40902298667853637	257.30000000000007	886.36	975	
		9HI	HEO 037	HF COVER SPORT 390	1	HIGHF	707.7	0.41302811925957317	292.29999999999995	1000	1100	
		9HI	HEO 038	HF COVER SPORT 420	1	HIGHF	593.79	0.5463210899476247	324.4000000000001	918.19	1010.01	
		9HI	HEO 039	HF COVER SPORT 460	3	HIGHF	593.79	0.5463210899476247	324.4000000000001	918.19	1010.01	
		9HI	HEO 040	HF COVER SPORT 520	0	HIGHF	1267.69	0.40556445187703605	514.1299999999999	1781.82	1960	
		9HI	HEO 041	HF COVER SPORT 560	0	HIGHF	1267.69	0.40556445187703605	514.1299999999999	1781.82	1960	
		9HI	HEP 001	FRONT HANDRAIL	0	BUY IN	55.38	1.1339833875045142	62.800000000000004	118.18	130	
