		RIGGING KIT DESCRIPTION	Part Number	Build	Dealer	Factory	Kit CTD	MU	GP ($)	Kit Sell Price	Trade Price	Sub Dealer Price		NSM Lab	NSM Lab ($)	Additional Parts	Sundry	Total Install CTD	Install MU	Instal GP	Install Retail Sell	Install Trade Sell	Install Sub Dealer Sell		Total CTD	MU	GP	Sell Price	Trade Price	Sub Dealer Price		Parts & Accessories	CTD	Parts & Accessories	CTD	Parts & Accessories	CTD	Parts & Accessories	CTD	 	Fuel Filter	 	 	 	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	 	Dealer 1/7/22	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 1 Gauge, 15' Cables & Filter (up to 70HP)	703-6Y51S-15-05	Service	878.37	35.1348	913.5048	0.25391190659813195	231.94974545454522	1260	1197	1197		4.65	604.9227272727272	0	0	604.9227272727272	0.11208794511695701	67.8045454545454	740	703	703		1518.4275272727273	0.19741099626103617	299.75429090909074	2000	1900	1900		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 15 Ft	.	.	.	.	.	.	.	.	.	 	878.37	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 1 Gauge, 16' Cables & Filter (up to 70HP)	703-6Y51S-16-05	Service	878.37	35.1348	913.5048	0.25391190659813195	231.94974545454522	1260	1197	1197		4.65	604.9227272727272	0	0	604.9227272727272	0.11208794511695701	67.8045454545454	740	703	703		1518.4275272727273	0.19741099626103617	299.75429090909074	2000	1900	1900		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 16 Ft	.	.	.	.	.	.	.	.	.	 	878.37	 	 	 	 	 	 	 	 
		 	 		 	 	 			 				 	 		 	 							 			 						 		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 2 Gauges, Cables & Filter (up to 70HP)	703-6Y52S-##-05	Service	1117.36	44.694399999999995	1162.0544	0.25170168844544155	292.4910545454545	1600	1520	1520		5.15	669.9681818181817	0	41.5	711.4681818181817	0.12443538649271989	88.53181818181815	880	836	836		1873.5225818181816	0.2033724474019976	381.0228727272729	2480	2356	2356		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 8 Ft	Control Cables (Supplied in Kit) - 11 Ft	Control Cables (Supplied in Kit) - 12 Ft	Control Cables (Supplied in Kit) - 13 Ft	Control Cables (Supplied in Kit) - 14 Ft	Control Cables (Supplied in Kit) - 15 Ft	Control Cables (Supplied in Kit) - 16 Ft	.	.	.	 	885.8	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 2 Gauges, 8' Cables & Filter (up to 70HP)	703-6Y52S-08-05	Service	1117.36	44.694399999999995	1162.0544	0.25170168844544155	292.4910545454545	1600	1520	1520		5.15	669.9681818181817	0	41.5	711.4681818181817	0.12443538649271989	88.53181818181815	880	836	836		1873.5225818181816	0.2033724474019976	381.0228727272729	2480	2356	2356		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 8 Ft	.	.	.	.	.	.	.	.	.	 	1117.36	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 2 Gauges, 9' Cables & Filter (up to 70HP)	703-6Y52S-09-05	Service	1117.36	44.694399999999995	1162.0544	0.25170168844544155	292.4910545454545	1600	1520	1520		5.15	669.9681818181817	0	41.5	711.4681818181817	0.12443538649271989	88.53181818181815	880	836	836		1873.5225818181816	0.2033724474019976	381.0228727272729	2480	2356	2356		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 9 Ft	.	.	.	.	.	.	.	.	.	 	1117.36	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 2 Gauges, 10' Cables & Filter (up to 70HP)	703-6Y52S-10-05	Service	1117.36	44.694399999999995	1162.0544	0.25170168844544155	292.4910545454545	1600	1520	1520		5.15	669.9681818181817	0	41.5	711.4681818181817	0.12443538649271989	88.53181818181815	880	836	836		1873.5225818181816	0.2033724474019976	381.0228727272729	2480	2356	2356		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 10 Ft	.	.	.	.	.	.	.	.	.	 	1117.36	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 2 Gauges, 11' Cables & Filter (up to 70HP)	703-6Y52S-11-05	Service	1117.36	44.694399999999995	1162.0544	0.25170168844544155	292.4910545454545	1600	1520	1520		5.15	669.9681818181817	0	41.5	711.4681818181817	0.12443538649271989	88.53181818181815	880	836	836		1873.5225818181816	0.2033724474019976	381.0228727272729	2480	2356	2356		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 11 Ft	.	.	.	.	.	.	.	.	.	 	1117.36	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 2 Gauges, 12' Cables & Filter (up to 70HP)	703-6Y52S-12-05	Service	1117.36	44.694399999999995	1162.0544	0.25170168844544155	292.4910545454545	1600	1520	1520		5.15	669.9681818181817	0	41.5	711.4681818181817	0.12443538649271989	88.53181818181815	880	836	836		1873.5225818181816	0.2033724474019976	381.0228727272729	2480	2356	2356		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 12 Ft	.	.	.	.	.	.	.	.	.	 	1117.36	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 2 Gauges, 13' Cables & Filter (up to 70HP)	703-6Y52S-13-05	Service	1117.36	44.694399999999995	1162.0544	0.25170168844544155	292.4910545454545	1600	1520	1520		5.15	669.9681818181817	0	41.5	711.4681818181817	0.12443538649271989	88.53181818181815	880	836	836		1873.5225818181816	0.2033724474019976	381.0228727272729	2480	2356	2356		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 13 Ft	.	.	.	.	.	.	.	.	.	 	1117.36	 	 	 	 	 	 	 	 
