Description	Code	CTD	Inflation	Adj CTD	Tot Parts CTD	Parts Sell	Total Lab	Labour CTD	Labour Ret	Sundry 1	Sublet	Act CTD	MU	GP	Act Sell	Rebate	Image Link
Fusion MS-RA210 Marine Entertainment System & XS Sports Speaker Kit + 1.8mtr Aerial	FUS-RA210-KIT02	822.6173805571074	0	0	822.6173805571074	1069	4.5	585.4090909090908	715.5	26	0	1434.026471466198	0.1544100324465779	221.4280739883473	1821		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/MS-RA210-and-XS-Series-6.5-200-Watt-Sports-Speaker-Kit-1.jpeg
GARMIN ELECTRONIC OPTIONS																	
Garmin EchoMap UHD2 55sv w GT20-TM Transducer & Spray Deflector Cover	GAR-55SV-KIT00	652.202	0	0	652.202	728	3.75	487.840909090909	596.25	22.5	0	1162.542909090909	0.06037141776663248	70.18436363636351	1356		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2024/03/Garmin-Echomap-UHD2-75cv-1.jpeg
EchoMAP UHD2 65sv w GT54 Transducer & Spray Deflector Cover	GAR-65SV-KIT00	1300.201	0	0	1300.201	1428	3.75	487.840909090909	596.25	22.5	0	1810.541909090909	0.03233783195297479	58.54899999999998	2056		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/02/Capture-3.jpg
EchoMAP UHD2 75sv w GT54 Transducer & Spray Deflector Cover	GAR-75SV-KIT00	1460.196	0	0	1460.196	1618	3.75	487.840909090909	596.25	22.5	0	1970.536909090909	0.03617352834063781	71.28127272727284	2246		
EchoMAP UHD2 95sv w GT56 Transducer & Spray Deflector Cover	GAR-95SV-KIT00	1780.197	0	0	1780.197	1968	3.75	487.840909090909	596.25	22.5	0	2290.537909090909	0.0303256674484203	69.46209090909088	2596		
.																	
Garmin EchoMap Ultra 2 105sv w GT56 UHD Tducer (AUS/NZ Navionics) & Spray Deflector Cover	GAR-105SV2-KIT01	2420.199	0	0	2420.199	2668	3.75	487.840909090909	596.25	22.5	0	2930.539909090909	0.02246129700146152	65.82372727272696	3296		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2025/07/cf-xl-1.jpeg
Garmin EchoMap Ultra 2 105sv w Ext Aerial, GT56 UHD Tducer (AUS/NZ Navionics) & Spray Deflector Cover	GAR-105SV2-KIT02	2975.295	0	0	2975.295	3305	6.5	845.5909090909089	1033.5	40	0	3860.885909090909	0.03461887986377113	133.659545454545	4394		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2025/07/cf-xl-1.jpeg
Garmin EchoMap Ultra 2 125sv w GT56 UHD Tducer (AUS/NZ Navionics) & Spray Deflector Cover	GAR-125SV2-KIT01	4020.193	0	0	4020.193	4668	3.75	487.840909090909	596.25	22.5	0	4530.533909090909	0.06268831690778233	284.0115454545448	5296		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2024/03/Echomap-Ultra-2-105sv.png
Garmin EchoMap Ultra 2 125sv w Ext Aerial, GT56 UHD Tducer (AUS/NZ Navionics) & Spray Deflector Cover	GAR-125SV2-KIT02	4575.289000000001	0	0	4575.289000000001	5305	6.5	845.5909090909089	1033.5	40	0	5460.87990909091	0.06443052575659654	351.8473636363624	6394		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2024/03/Echomap-Ultra-2-105sv.png
Garmin EchoMap Ultra 2 165sv w GT56 UHD Tducer (AUS/NZ Navionics) & Spray Deflector Cover	GAR-165SV2-KIT01	4820.201	0	0	4820.201	5628	3.75	487.840909090909	596.25	22.5	0	5330.541909090909	0.06692205488028069	356.730818181818	6256		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2024/03/Echomap-Ultra-2-105sv.png
Garmin EchoMap Ultra 2 165sv w Ext Aerial, GT56 UHD Tducer (AUS/NZ Navionics) & Spray Deflector Cover	GAR-165SV2-KIT02	5375.297	0	0	5375.297	6265	6.5	845.5909090909089	1033.5	40	0	6260.887909090909	0.06781252795584441	424.5666363636356	7354		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2024/03/Echomap-Ultra-2-105sv.png
Garmin GPSMap 8410XSV w GT56 UHD TDucer, Ext Ant, NMEA Starter Kit & Garmin Navionics Vision+ Chart	GAR-8410XSV-KIT01	4986.09	0	0	4986.09	5765	6.05	787.0499999999998	961.9499999999999	30	0	5803.14	0.06039770945322062	350.4963636363627	6769		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8410-1.jpeg
Garmin GPSMap 8410XSV w GT56 UHD TDucer, Ext Ant, NMEA Starter Kit, Yamaha Bus Cable & Garmin Navionics Vision+ Chart	GAR-8410XSV-KIT02	5020.39	0	0	5020.39	5804	6.3	819.5727272727271	1001.7	32.5	0	5872.462727272728	0.0605740908762298	355.7190909090905	6851		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8410-1.jpeg
